Hospital_name,Address,Phone_number,Rating,No_of_people_rated,Reviews,latitude,longitude
Shanthi Hospital KR Puram,"69, Main Rd, KR Puram, Bangalore",+91 9910231554,4.1,734,Good infrastructure and hygiene,13.06386,77.77859
Sri Lakshmi Hospital Yelahanka,"184, 1st Cross, Yelahanka, Bangalore",+91 6752517357,3.7,2117,Good infrastructure and hygiene,12.861863,77.403447
Apollo Hospital Indiranagar,"114, Hospital Rd, Indiranagar, Bangalore",+91 8401211851,4.5,631,Friendly nurses and well maintained facility,13.164551,77.465942
Aster Hospital Whitefield,"79, Main Rd, Whitefield, Bangalore",+91 6743953784,4.1,506,Average waiting time but good treatment,13.09204,77.790684
Trustwell Hospital Bellandur,"50, Market Rd, Bellandur, Bangalore",+91 9806077592,4.6,1495,Clean hospital with quick service,13.050406,77.689366
CityCare Hospital Marathahalli,"148, Lake View Rd, Marathahalli, Bangalore",+91 9580578047,3.7,1590,Good infrastructure and hygiene,12.963706,77.476953
PrimeCare Hospital BTM Layout,"195, 2nd Stage, BTM Layout, Bangalore",+91 8663853660,4.2,1520,Good doctors and supportive staff,12.939863,77.482129
Apollo Hospital Whitefield,"115, Service Rd, Whitefield, Bangalore",+91 6184270506,3.7,1699,Doctors explained the treatment clearly,12.959788,77.748782
Cloudnine Hospital Banashankari,"175, 1st Cross, Banashankari, Bangalore",+91 9314670768,3.8,237,Good infrastructure and hygiene,13.13743,77.594763
Narayana Hospital Hebbal,"134, 2nd Stage, Hebbal, Bangalore",+91 9765069153,3.2,1332,Average waiting time but good treatment,12.868634,77.602045
Fortis Hospital Domlur,"78, Main Rd, Domlur, Bangalore",+91 9409254044,4.2,89,Good doctors and supportive staff,12.919263,77.550937
Sri Lakshmi Hospital Domlur,"198, Service Rd, Domlur, Bangalore",+91 7781047724,4.5,1270,Good infrastructure and hygiene,12.801851,77.538234
Greenview Hospital Banashankari,"29, 100 ft Rd, Banashankari, Bangalore",+91 6473587712,3.1,364,Good infrastructure and hygiene,13.174069,77.615527
Aster Hospital Rajajinagar,"198, Hospital Rd, Rajajinagar, Bangalore",+91 9833918139,4,207,Affordable and reliable healthcare,12.896648,77.564656
Rainbow Hospital Basavanagudi,"110, Hospital Rd, Basavanagudi, Bangalore",+91 8796147389,4.4,207,Clean hospital with quick service,12.955427,77.52395
Sakra Hospital Sarjapur Road,"14, Outer Ring Rd, Sarjapur Road, Bangalore",+91 9632684424,3.3,161,Clean hospital with quick service,13.040195,77.565319
Trustwell Hospital Kengeri,"51, Main Rd, Kengeri, Bangalore",+91 6795293930,4.2,1749,Doctors explained the treatment clearly,13.000867,77.419375
Columbia Asia Hospital Rajajinagar,"119, 100 ft Rd, Rajajinagar, Bangalore",+91 8906611016,4.2,2300,Average waiting time but good treatment,13.106166,77.744257
CityCare Hospital Kengeri,"39, Hospital Rd, Kengeri, Bangalore",+91 6999732413,4.6,920,Average waiting time but good treatment,13.051644,77.520898
Trustwell Hospital Whitefield,"72, Outer Ring Rd, Whitefield, Bangalore",+91 6829332255,4,2016,Average waiting time but good treatment,13.131596,77.493572
Sakra Hospital KR Puram,"127, 1st Cross, KR Puram, Bangalore",+91 8320425748,4.5,2341,Average waiting time but good treatment,13.186899,77.641724
Sparsh Hospital Bellandur,"43, Market Rd, Bellandur, Bangalore",+91 9850049703,4.2,731,Friendly nurses and well maintained facility,13.084811,77.672581
LifePlus Hospital Domlur,"129, 2nd Stage, Domlur, Bangalore",+91 8047818742,4.2,2238,Clean hospital with quick service,13.051462,77.702628
Greenview Hospital Domlur,"12, 2nd Stage, Domlur, Bangalore",+91 7687364738,3.1,817,Emergency services were very fast,12.939973,77.623631
Apollo Hospital Whitefield,"49, Outer Ring Rd, Whitefield, Bangalore",+91 9502661650,4,1083,Good infrastructure and hygiene,12.95049,77.440445
Shanthi Hospital Yelahanka,"14, Ring Rd, Yelahanka, Bangalore",+91 7467036764,4.7,443,Average waiting time but good treatment,13.182563,77.482759
PrimeCare Hospital KR Puram,"179, 100 ft Rd, KR Puram, Bangalore",+91 9052838296,3.1,534,Emergency services were very fast,12.860377,77.582126
Greenview Hospital Electronic City,"96, Main Rd, Electronic City, Bangalore",+91 9544070741,3.5,511,Friendly nurses and well maintained facility,13.036517,77.410585
Greenview Hospital Malleshwaram,"77, Market Rd, Malleshwaram, Bangalore",+91 9472381541,3.7,1398,Good doctors and supportive staff,12.948136,77.568777
Manipal Hospital Bellandur,"156, Ring Rd, Bellandur, Bangalore",+91 6577756510,3.2,629,Emergency services were very fast,13.028804,77.463881
Fortis Hospital Basavanagudi,"163, Lake View Rd, Basavanagudi, Bangalore",+91 8224751695,4.3,1789,Good doctors and supportive staff,13.131675,77.460956
Sri Lakshmi Hospital Yelahanka,"136, Lake View Rd, Yelahanka, Bangalore",+91 8891916033,3.9,299,Emergency services were very fast,12.868737,77.562597
MedStar Hospital Domlur,"44, Main Rd, Domlur, Bangalore",+91 6327245232,4.1,1624,Clean hospital with quick service,13.106129,77.627991
Shanthi Hospital Kengeri,"194, Main Rd, Kengeri, Bangalore",+91 8606365748,4.1,2182,Clean hospital with quick service,12.825113,77.618362
Columbia Asia Hospital Frazer Town,"183, 100 ft Rd, Frazer Town, Bangalore",+91 8029516124,4.3,821,Friendly nurses and well maintained facility,13.042876,77.469215
Columbia Asia Hospital HSR Layout,"133, Ring Rd, HSR Layout, Bangalore",+91 7185390234,4.5,182,Good infrastructure and hygiene,12.864481,77.733021
Shanthi Hospital Indiranagar,"119, Market Rd, Indiranagar, Bangalore",+91 6742197949,4.2,157,Clean hospital with quick service,13.180924,77.543034
Sparsh Hospital Banashankari,"130, 1st Cross, Banashankari, Bangalore",+91 9795015828,4.2,1886,Good infrastructure and hygiene,13.01111,77.584188
Manipal Hospital Hebbal,"32, 100 ft Rd, Hebbal, Bangalore",+91 7711023259,4.2,77,Friendly nurses and well maintained facility,13.015832,77.622136
Narayana Hospital Rajajinagar,"16, 1st Cross, Rajajinagar, Bangalore",+91 7105188062,4.2,315,Good doctors and supportive staff,12.916371,77.598736
Greenview Hospital Yelahanka,"6, Service Rd, Yelahanka, Bangalore",+91 7955728832,3.5,1291,Good infrastructure and hygiene,13.063319,77.617871
Ananya Hospital Jayanagar,"5, Outer Ring Rd, Jayanagar, Bangalore",+91 8184153337,3,1861,Friendly nurses and well maintained facility,13.048389,77.607951
Manipal Hospital Marathahalli,"161, Main Rd, Marathahalli, Bangalore",+91 7871384520,3.5,1348,Good infrastructure and hygiene,13.11981,77.61449
Fortis Hospital HSR Layout,"94, 1st Cross, HSR Layout, Bangalore",+91 7894473746,3.4,756,Good infrastructure and hygiene,13.021334,77.413654
Apollo Hospital Bellandur,"186, Hospital Rd, Bellandur, Bangalore",+91 9858688482,4.7,1509,Doctors explained the treatment clearly,12.81858,77.521564
MedStar Hospital Whitefield,"110, 2nd Stage, Whitefield, Bangalore",+91 6216791478,4.7,764,Emergency services were very fast,12.865307,77.47503
Columbia Asia Hospital Marathahalli,"141, 1st Cross, Marathahalli, Bangalore",+91 7800759527,3.8,1132,Good infrastructure and hygiene,13.158322,77.757189
Trustwell Hospital Indiranagar,"101, Outer Ring Rd, Indiranagar, Bangalore",+91 9255173321,4.5,1471,Affordable and reliable healthcare,13.053956,77.681907
MedStar Hospital Rajajinagar,"109, 2nd Stage, Rajajinagar, Bangalore",+91 9023034592,3.2,70,Friendly nurses and well maintained facility,13.046144,77.734562
Aster Hospital Kengeri,"5, Market Rd, Kengeri, Bangalore",+91 6543840421,3.5,866,Good doctors and supportive staff,13.056804,77.518885
Manipal Hospital RT Nagar,"141, Market Rd, RT Nagar, Bangalore",+91 9650864968,4.2,1049,Clean hospital with quick service,12.866349,77.400188
Apollo Hospital Domlur,"157, Outer Ring Rd, Domlur, Bangalore",+91 9804423595,3.8,488,Average waiting time but good treatment,13.012592,77.422738
Apollo Hospital Bellandur,"51, Outer Ring Rd, Bellandur, Bangalore",+91 7864985944,3.3,142,Average waiting time but good treatment,13.158031,77.575857
Sri Lakshmi Hospital Frazer Town,"8, Main Rd, Frazer Town, Bangalore",+91 9300337518,3.1,1250,Affordable and reliable healthcare,13.016228,77.489463
LifePlus Hospital Malleshwaram,"145, Main Rd, Malleshwaram, Bangalore",+91 9491891699,4.5,305,Doctors explained the treatment clearly,12.882147,77.696465
Trustwell Hospital Domlur,"17, Service Rd, Domlur, Bangalore",+91 7857016866,4.6,207,Doctors explained the treatment clearly,13.163062,77.460638
Greenview Hospital Marathahalli,"157, 100 ft Rd, Marathahalli, Bangalore",+91 8115496566,3.1,480,Good infrastructure and hygiene,12.854234,77.656132
LifePlus Hospital Domlur,"131, Lake View Rd, Domlur, Bangalore",+91 6309978359,3.4,80,Emergency services were very fast,13.075556,77.778745
Aster Hospital Hebbal,"122, Market Rd, Hebbal, Bangalore",+91 9514736937,4.3,1949,Clean hospital with quick service,13.05801,77.699681
Sakra Hospital BTM Layout,"118, Market Rd, BTM Layout, Bangalore",+91 9032797825,3.7,1144,Friendly nurses and well maintained facility,13.015735,77.552694
PrimeCare Hospital Banashankari,"81, Outer Ring Rd, Banashankari, Bangalore",+91 6980859221,3.2,762,Affordable and reliable healthcare,13.100316,77.51153
Cloudnine Hospital RT Nagar,"149, Ring Rd, RT Nagar, Bangalore",+91 6642835469,4,1751,Clean hospital with quick service,12.951057,77.598908
Sakra Hospital Marathahalli,"178, Lake View Rd, Marathahalli, Bangalore",+91 9987245922,3.2,749,Good infrastructure and hygiene,12.815401,77.549226
Greenview Hospital Indiranagar,"158, Main Rd, Indiranagar, Bangalore",+91 7687759259,4.7,178,Good doctors and supportive staff,12.979374,77.489113
Ananya Hospital Kengeri,"1, Ring Rd, Kengeri, Bangalore",+91 7231623434,4.2,915,Friendly nurses and well maintained facility,12.846875,77.62149
Manipal Hospital Frazer Town,"76, Service Rd, Frazer Town, Bangalore",+91 9592359072,4.2,226,Good infrastructure and hygiene,13.043369,77.481427
CityCare Hospital Rajajinagar,"5, Lake View Rd, Rajajinagar, Bangalore",+91 6102773959,3.8,2477,Good doctors and supportive staff,12.816326,77.75006
Rainbow Hospital Jayanagar,"59, 2nd Stage, Jayanagar, Bangalore",+91 6783845131,4.6,791,Doctors explained the treatment clearly,12.859469,77.598455
Vijaya Hospital KR Puram,"168, Ring Rd, KR Puram, Bangalore",+91 6906370432,4.3,405,Affordable and reliable healthcare,13.081125,77.456231
Columbia Asia Hospital Frazer Town,"130, Hospital Rd, Frazer Town, Bangalore",+91 7103662964,3.2,1002,Clean hospital with quick service,13.00708,77.57747
